tenure,monthly_charges,contract_type,payment_method,churn
39,36,0,0,0
52,86,0,1,0
29,65,0,1,0
15,74,0,0,1
43,49,0,1,0
8,94,0,1,0
21,37,0,0,1
39,45,0,0,0
58,43,0,1,0
19,105,1,0,0
23,116,0,1,1
11,44,1,1,0
11,95,1,1,0
24,61,0,1,0
53,116,0,0,0
36,92,0,0,1
40,115,0,0,1
24,80,1,0,0
3,54,0,1,1
22,87,0,1,1
53,92,0,0,0
2,91,0,1,1
24,51,1,1,0
44,87,0,1,0
30,87,0,0,1
38,115,1,0,0
2,78,1,0,1
60,81,0,1,0
21,71,0,0,1
33,99,0,0,0
12,44,0,0,1
58,83,0,0,0
22,89,0,0,1
44,37,0,0,0
25,82,0,1,1
49,89,1,1,0
27,34,0,0,1
59,97,0,0,0
42,35,0,1,0
28,76,1,1,0
60,84,0,0,0
16,69,0,0,1
15,81,1,0,0
47,45,1,0,0
51,42,1,1,0
44,59,0,0,0
55,48,0,0,0
52,46,1,0,0
57,92,1,0,1
3,48,0,1,1
37,87,0,1,1
51,84,0,1,1
7,119,1,0,1
21,119,0,0,1
9,91,0,1,1
39,52,0,0,0
18,38,0,0,1
4,41,0,1,0
25,30,0,1,0
60,87,1,1,0
14,30,0,1,0
50,63,0,0,0
58,77,0,0,0
9,118,0,1,1
26,30,0,0,1
53,45,0,1,0
2,90,0,1,1
20,93,0,0,1
28,92,0,1,1
47,98,1,0,0
60,51,0,0,0
7,96,1,0,1
44,105,0,0,0
8,55,1,1,1
47,45,1,0,0
35,80,0,1,1
14,115,0,1,1
17,86,0,1,1
36,58,0,1,0
50,107,1,0,0
40,98,1,0,1
4,76,1,1,0
2,91,0,1,1
6,98,1,0,0
54,105,1,1,0
42,45,0,0,0
4,119,0,1,1
54,119,1,0,0
29,77,0,1,0
18,114,1,1,1
26,68,0,0,1
44,62,1,1,0
34,52,0,1,0
10,39,0,0,1
36,98,0,1,0
14,63,1,0,0
31,81,1,0,0
48,39,0,1,1
15,48,0,1,1
8,87,1,1,1
14,30,0,1,1
23,98,1,1,1
60,33,0,1,0
57,45,0,1,0
40,53,0,0,0
21,109,0,1,1
16,31,1,0,0
45,61,0,1,0
18,120,0,1,0
47,113,1,0,0
53,53,0,1,0
24,41,0,1,0
26,79,1,0,0
25,64,1,1,1
60,62,0,1,0
60,62,1,1,0
60,90,1,0,0
45,80,0,1,1
41,72,0,1,0
29,41,1,1,0
15,96,1,1,1
45,94,0,0,0
1,62,1,0,0
25,69,1,1,0
7,103,0,1,1
9,72,0,0,1
24,73,0,0,0
1,58,1,1,1
44,42,0,0,0
8,41,0,1,1
24,75,1,0,0
11,31,1,0,1
51,64,0,0,0
17,116,1,0,0
8,110,0,1,1
35,119,1,0,0
35,37,0,0,0
33,55,0,1,0
59,103,1,0,0
5,119,0,0,1
42,63,0,1,0
39,36,1,0,0
58,97,1,1,0
41,87,1,1,0
28,104,1,1,0
7,58,0,1,1
9,65,0,0,1
8,118,0,1,1
12,50,0,0,0
34,65,1,0,0
33,39,0,0,0
48,102,0,0,1
55,53,0,0,0
23,93,1,0,0
24,78,0,0,1
37,65,0,0,0
35,111,0,0,1
44,53,1,0,0
40,52,0,1,0
22,91,1,1,0
27,66,1,1,0
35,41,0,0,1
1,84,1,1,0
35,42,1,1,0
37,52,1,1,0
47,118,0,0,1
14,59,0,0,0
3,46,1,0,1
1,91,0,0,1
5,113,1,1,0
26,118,1,1,1
55,115,1,1,1
14,42,0,1,0
39,88,0,0,0
27,48,1,0,0
9,78,1,0,0
15,41,0,1,0
15,90,1,0,0
26,48,1,0,0
42,105,0,1,0
60,38,0,1,0
13,100,0,0,0
51,57,0,0,0
32,107,0,0,1
39,81,1,0,0
49,112,0,0,1
52,45,0,0,0
32,98,0,1,0
4,41,0,1,1
30,54,1,1,0
37,81,0,0,0
23,114,0,1,1
39,82,1,0,0
45,52,0,0,0
15,45,0,1,1
43,86,0,0,0
29,68,0,0,1
36,82,0,1,0
13,71,0,1,1
32,87,0,1,0
7,68,1,0,0
59,43,0,1,0
51,34,0,1,0
22,64,1,0,0
28,116,0,1,0
2,104,1,1,1
42,47,0,1,1
45,105,1,0,0
57,38,0,0,1
53,103,0,0,0
6,87,0,0,1
28,46,1,1,0
28,36,0,0,0
44,75,0,0,0
44,42,0,1,0
20,69,1,1,1
30,71,0,1,0
11,38,1,0,0
58,79,0,0,0
55,56,0,0,0
28,95,0,1,0
25,34,0,1,0
39,58,0,0,0
33,66,0,1,1
1,67,1,1,0
57,112,0,1,1
27,37,0,0,0
57,94,0,1,0
52,115,0,1,1
13,46,0,0,0
41,100,0,0,1
3,118,0,1,1
39,74,1,1,0
6,33,1,0,1
8,65,0,0,1
27,99,0,1,0
9,60,1,1,0
37,48,0,1,0
33,90,0,1,1
51,83,0,0,0
42,68,1,1,0
44,120,1,1,0
24,103,0,0,1
15,119,0,1,1
59,48,0,0,0
54,68,1,1,0
32,96,0,1,1
32,74,0,0,0
24,42,1,0,0
41,87,0,1,0
52,49,1,1,0
49,101,0,1,0
49,90,0,0,0
58,68,0,1,0
52,30,1,0,0
12,32,1,0,0
39,106,1,1,0
2,91,0,0,0
3,92,1,1,0
49,54,0,1,0
37,85,0,1,0
49,62,1,1,0
56,67,0,1,1
17,35,0,0,1
59,87,0,0,0
49,73,0,1,1
2,74,0,1,1
2,61,0,0,1
28,74,0,0,0
54,90,1,0,0
23,76,1,0,0
37,50,0,1,0
32,109,0,1,1
33,114,0,0,1
1,104,0,1,1
19,65,0,0,1
2,48,1,1,1
53,49,0,0,0
44,86,0,1,0
26,47,0,0,1
32,76,0,0,0
6,78,1,1,0
32,43,1,0,0
55,44,0,1,0
4,60,1,1,1
55,30,0,0,0
11,83,1,1,0
56,32,1,1,0
59,45,0,1,0
17,116,0,1,1
38,86,0,1,0
24,104,0,0,1
5,41,1,1,0
